Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity Sold,Cost Price,Sales,Profit,Payment Mode,Delivery Status,Shipment Mode,Discount,Return Status,Auto Reorder,Reorder Quantity
ORD1000,26-04-2025,06-09-2025,CUST242,David Brown,Home Office,PROD9684,Chair,Office Supplies,East,Maharashtra,Mumbai,47,13627.91,15271.05,1643.14,Cash,Pending,Same Day,21,Returned,Yes,25
ORD1001,24-02-2024,31-01-2025,CUST583,Sophia Johnson,Corporate,PROD1243,Printer,Furniture,East,Tamil Nadu,Chennai,17,4382.1,5335.59,953.49,Credit Card,Pending,Same Day,9,Returned,No,8
ORD1002,25-11-2024,13-06-2025,CUST928,John Lee,Consumer,PROD3560,Calculator,Technology,North,UP,Delhi,23,10645.05,15408.48,4763.43,Credit Card,Cancelled,First Class,28,Returned,No,40
ORD1003,09-10-2024,29-04-2024,CUST847,Sophia Green,Corporate,PROD4800,Desk,Office Supplies,West,Delhi,Lucknow,34,14975.95,19522.96,4547.01,Debit Card,Cancelled,Same Day,20,Returned,Yes,20
ORD1004,08-07-2025,16-10-2024,CUST976,Amy Smith,Home Office,PROD7369,Bookshelf,Furniture,East,Karnataka,Chennai,28,11033.34,18515.57,7482.23,Debit Card,Delivered,Same Day,15,Returned,Yes,32
ORD1005,26-05-2024,21-08-2025,CUST932,Stephen Dunn,Corporate,PROD7544,Printer,Furniture,East,Punjab,Amritsar,38,4153.97,5506.67,1352.7,Net Banking,Pending,Second Class,11,Returned,Yes,44
ORD1006,06-05-2024,09-03-2024,CUST334,Stephen Johnson,Home Office,PROD5957,Laptop,Office Supplies,West,Maharashtra,Mumbai,42,7259.34,12705.23,5445.89,Net Banking,Pending,Second Class,26,Returned,Yes,8
ORD1007,29-05-2024,18-03-2025,CUST185,Chris Brown,Home Office,PROD6597,Pen Set,Technology,South,Punjab,Bangalore,10,18248.87,30879.17,12630.3,Cash,Pending,Second Class,7,No Return,Yes,14
ORD1008,29-07-2024,03-07-2024,CUST390,Sophia Lee,Corporate,PROD4044,Laptop,Furniture,South,Punjab,Delhi,11,10210.5,12013.63,1803.13,Debit Card,Cancelled,Standard Class,8,Returned,No,34
ORD1009,05-07-2024,20-03-2024,CUST767,Emma Lee,Consumer,PROD2370,Laptop,Furniture,North,Delhi,Amritsar,43,12856.29,18699.06,5842.77,Credit Card,Cancelled,Second Class,0,Returned,Yes,34
ORD1010,07-07-2024,17-02-2025,CUST801,Sophia Dunn,Home Office,PROD9268,Laptop,Technology,West,Punjab,Lucknow,16,11314.86,15222.35,3907.49,Cash,Cancelled,Standard Class,18,No Return,No,14
ORD1011,02-08-2024,12-11-2025,CUST256,Amy Lee,Corporate,PROD7548,Laptop,Office Supplies,West,UP,Bangalore,45,8997.75,15469.59,6471.84,UPI,Cancelled,Standard Class,15,Returned,Yes,14
